scope,title,slug,site,pageid,timestamp,user,temp_user,revid,parent_revid,rcid,event_type,change_type,size_old,size_new,size_delta,comment,tags
revision,Template:Data,template-data,en.wikipedia.org,51277126,2026-03-28T00:04:35Z,Bamyers99,False,1345753757,1345749466,,revision,edit,,4432,,recovered category,wikieditor
recentchange,Template:Data,template-data,en.wikipedia.org,51277126,2026-03-28T00:04:35Z,Bamyers99,False,1345753757,1345749466,2010305074,edit,edit,4291,4432,141,recovered category,wikieditor
recentchange,Collibra,collibra,en.wikipedia.org,82801076,2026-03-28T07:46:01Z,SunloungerFrog,False,0,0,2010391764,log,reviewed-article,0,0,0,,pagetriage
revision,Collibra,collibra,en.wikipedia.org,82801076,2026-03-28T16:24:03Z,Finngall,False,1345860103,1345751974,,revision,edit,,13980,,"rv AfD tag placed by TA without followup and linking to previous discussion from 2024, but tagging for a G4 check as the sources here are largely primary and/or run of the mill coverage, which is in line with how the sources were described in the 2024 version",mw-reverted;wikieditor
recentchange,Collibra,collibra,en.wikipedia.org,82801076,2026-03-28T16:24:03Z,Finngall,False,1345860103,1345751974,2010558978,edit,edit,14627,13980,-647,"rv AfD tag placed by TA without followup and linking to previous discussion from 2024, but tagging for a G4 check as the sources here are largely primary and/or run of the mill coverage, which is in line with how the sources were described in the 2024 version",mw-reverted;wikieditor
revision,Talk:Collibra,talk-collibra,en.wikipedia.org,82801274,2026-03-28T21:22:20Z,~2026-19334-47,True,1345898747,1345742679,,revision,edit,,1695,,/* Contested deletion */ new section,discussiontools-added-comment;wikieditor
recentchange,Talk:Collibra,talk-collibra,en.wikipedia.org,82801274,2026-03-28T21:22:20Z,~2026-19334-47,True,1345898747,1345742679,2010635202,edit,edit,86,1695,1609,/* Contested deletion */ new section,discussiontools-added-comment;wikieditor
recentchange,Collibra,collibra,en.wikipedia.org,82801076,2026-03-28T21:27:03Z,Pppery,False,0,0,2010636459,log,unreviewed-article,0,0,0,,pagetriage
revision,Template:Data,template-data,en.wikipedia.org,51277126,2026-03-29T00:40:44Z,Dabed,False,1345923794,1345753757,,revision,edit,,4448,,+ [[Dark data]],wikieditor
recentchange,Template:Data,template-data,en.wikipedia.org,51277126,2026-03-29T00:40:44Z,Dabed,False,1345923794,1345753757,2010696145,edit,edit,4432,4448,16,+ [[Dark data]],wikieditor
revision,Collibra,collibra,en.wikipedia.org,82801076,2026-03-29T16:46:42Z,SouthernNights,False,1346044629,1345860103,,revision,edit,,13920,,Not eligible for speedy delete under [[WP:G4]] b/c article is not substantially identical to the deleted version. Bring up for [[WP:AFD]] if desired.,mw-manual-revert;wikieditor
recentchange,Collibra,collibra,en.wikipedia.org,82801076,2026-03-29T16:46:42Z,SouthernNights,False,1346044629,1345860103,2010958616,edit,edit,13980,13920,-60,Not eligible for speedy delete under [[WP:G4]] b/c article is not substantially identical to the deleted version. Bring up for [[WP:AFD]] if desired.,mw-manual-revert;wikieditor
revision,Collibra,collibra,en.wikipedia.org,82801076,2026-03-30T09:00:58Z,~2026-19334-47,True,1346167097,1346044629,,revision,edit,,13840,,Further edited the key people section,wikieditor
recentchange,Collibra,collibra,en.wikipedia.org,82801076,2026-03-30T09:00:58Z,~2026-19334-47,True,1346167097,1346044629,2011179727,edit,edit,13920,13840,-80,Further edited the key people section,wikieditor
revision,Collibra,collibra,en.wikipedia.org,82801076,2026-03-30T12:03:16Z,~2026-19694-64,True,1346185994,1346167097,,revision,edit,,13993,,Added some details about Collibra's first three acquisitions,visualeditor
recentchange,Collibra,collibra,en.wikipedia.org,82801076,2026-03-30T12:03:16Z,~2026-19694-64,True,1346185994,1346167097,2011213684,edit,edit,13840,13993,153,Added some details about Collibra's first three acquisitions,visualeditor
